출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020150141639¶2¶A61B 5/00¶(2021.01.01)
1020207016635¶1¶A61B 34/00¶(2016.01.01)
1020207016635¶2¶A61B 34/35¶(2016.01.01)
1020207016635¶3¶A61B 17/29¶(2006.01.01)
1020207016635¶4¶A61B 17/00¶(2022.01.01)
1020167026926¶1¶A61F 13/10¶(2006.01.01)
1020167026926¶2¶A61F 5/01¶(2006.01.01)
1020167026926¶3¶A61F 13/00¶(2006.01.01)
1020197018651¶1¶H01L 21/67¶(2006.01.01)
1020197018651¶2¶H01L 21/66¶(2006.01.01)
1020170021111¶1¶H01L 21/768¶(2006.01.01)
1020170021111¶2¶A61B 5/24¶(2021.01.01)
1020170021111¶3¶H01L 23/00¶(2006.01.01)
1020170021111¶4¶H01L 21/027¶(2006.01.01)
1020170021111¶5¶H01L 21/56¶(2006.01.01)
1020170021111¶6¶H01L 21/02¶(2006.01.01)
1020177008247¶1¶G06F 3/01¶(2006.01.01)
1020177008247¶2¶G06F 1/16¶(2006.01.01)
1020177008247¶3¶G06F 3/0346¶(2013.01.01)
1020177008247¶4¶G03B 21/14¶(2006.01.01)
1020227011870¶1¶B25J 9/04¶(2006.01.01)
1020227011870¶2¶B25J 9/10¶(2006.01.01)
1020227011870¶3¶B25J 18/04¶(2006.01.01)
1020227011870¶4¶B25J 17/00¶(2006.01.01)
1020140010916¶1¶H04W 48/16¶(2009.01.01)
1020140010916¶2¶H04W 88/06¶(2009.01.01)
1020160093464¶1¶H03M 1/66¶(2006.01.01)
1020160093464¶2¶H03M 1/70¶(2006.01.01)
1020197032916¶1¶A61B 34/30¶(2016.01.01)
1020197032916¶2¶A61B 34/20¶(2016.01.01)
1020197032916¶3¶A61B 90/00¶(2016.01.01)
1020197032916¶4¶A61B 90/11¶(2016.01.01)
1020197032916¶5¶A61B 90/98¶(2016.01.01)
1020197032916¶6¶A61M 25/01¶(2006.01.01)
1020197032916¶7¶A61B 17/00¶(2022.01.01)
1020197032916¶8¶A61B 90/57¶(2016.01.01)
1020217003579¶1¶B25J 9/04¶(2006.01.01)
1020217003579¶2¶B25J 18/04¶(2006.01.01)
1020217003579¶3¶H01L 21/677¶(2006.01.01)
1020170008303¶1¶A61B 5/00¶(2021.01.01)
1020170008303¶2¶A61B 5/11¶(2006.01.01)
1020180141287¶1¶H05B 44/00¶(2022.01.01)
1020180141287¶2¶A61B 5/024¶(2006.01.01)
1020180141287¶3¶A61B 5/00¶(2021.01.01)
1020180141287¶4¶A61M 21/02¶(2006.01.01)
1020180141287¶5¶A61N 5/06¶(2006.01.01)
1020180141287¶6¶A61M 21/00¶(2006.01.01)
1020097025981¶1¶H01Q 13/10¶(2018.01.01)
1020097025981¶2¶H01Q 13/08¶(2006.01.01)
1020097025981¶3¶H01Q 9/04¶(2018.01.01)
1020097025981¶4¶H01Q 1/24¶(2006.01.01)
1020217034179¶1¶H01L 29/786¶(2006.01.01)
1020217034179¶2¶H01L 21/02¶(2006.01.01)
1020130133023¶1¶H04B 10/114¶(2013.01.01)
1020167027066¶1¶A61F 13/06¶(2006.01.01)
1020167027066¶2¶A61F 5/01¶(2006.01.01)
1020187016970¶1¶B25J 9/00¶(2006.01.01)
1020187016970¶2¶B25J 19/02¶(2006.01.01)
1020160014730¶1¶A44C 5/20¶(2006.01.01)
1020160014730¶2¶G04B 37/14¶(2006.01.01)
