출원번호,일련번호,특허유형
1020140044523,2019990017555,U
1020200072102,1018458560000,B1
1020200072102,1020040098218,A
1020200072102,1020174500000,B1
1020200072102,1020952030000,B1
1020200072102,2020090007826,U
1020160024192,1015355090000,B1
1020160024192,1009619120000,B1
1020160024192,1020160009461,A
1020160024087,1010366620000,B1
1020160024087,1020160009461,A
1020160024087,1015355090000,B1
1020160024240,1013198560000,B1
1020160024240,1015355090000,B1
1020160024240,1020160009461,A
1020060020692,1019960040432,A
1020050045039,1001810160000,B1
1020050045039,1001977170000,B1
1020050045039,1019990003424,A
1020210142516,1008580420000,B1
1020210142516,1022904460000,B1
1020180145966,1020130085090,A
1020180145966,1020150121817,A
1020180145966,1020160046585,A
1020150025172,1008274680000,B1
1020150025172,1010677890000,B1
1020150055477,2019910002621,Y1
1020150055477,2001162190000,Y1
1020150055477,1012925860000,B1
1020150055477,2019990036070,U
1020150055477,1020130126571,A
1020080074159,1008238310000,B1
1020080074159,1008485330000,B1
1020080074159,1020020029543,A
1020080031780,1006551050000,B1
1020080031780,1019950011997,A
1020080031780,2019930007113,U
1020080031780,1020020029543,A
1020080031780,1003593050000,B1
1020080031780,2002424270000,Y1
1020180079612,2001957760000,Y1
1020180079612,2004702380000,Y1
1020180079612,2019910004687,U
1020180079612,2019900009534,Y1
1020150046697,1002350610000,B1
1020150046697,1020090070462,A
1020150046697,2002369460000,Y1
1020150046697,1019990064387,A
1020160104836,2004249060000,Y1
1020160104836,2019850008979,U
1020160104836,,10-1117665 B1
1020160104836,,10-1314922 B1
1020080042885,2001655420000,Y1
1020080042885,2001821900000,Y1
1020170138492,1020140047040,A
1020170138492,1010874660000,B1
1020170138492,1020060013642,A
1020140031092,1006457340000,B1
1020140031092,1020100066633,A
1020140031092,1020090085962,A
1020160032762,1020140022268,A
1020160032762,1020150145770,A
1020160032762,1020040040509,A
1020130064002,2002596880000,Y1
1020070135377,1020010056546,A
1020070135377,1020070095653,A
1020070113991,1020050035913,A
1020070113991,1020020027178,A
1020070113991,1020030090911,A
1020150167052,1005702890000,B1
1020150167052,1020070050902,A
1020170001873,2020080000968,U
1020170001873,1020020093685,A
1020170001873,1009290500000,B1
1020170001873,2019870004158,U
1020170001873,1014076010000,B1
1020170001873,2019860010932,U
1020120128854,1019980019447,A
1020120128854,2004631980000,Y1
1020120128854,2019850004138,U
1020140025229,2004217930000,Y1
1020140025229,1020090044384,A
1020150015997,1020010008335,A
1020150015997,1020090002460,A
1020150015997,2002244270000,Y1
1020120129478,1020120032718,A
1020120129478,2004416650000,Y1
